Run ID,Subrun ID,Event ID,Subevent ID,Subevent Stream
2201817258,4294967295,4,0,
2201817258,4294967295,8,0,
2201817258,4294967295,24,0,
2201817258,4294967295,26,0,
2201817258,4294967295,33,0,
2201817258,4294967295,45,0,
2201817258,4294967295,49,0,
2201817258,4294967295,51,0,
2201817258,4294967295,54,0,
2201817258,4294967295,57,0,
2201817258,4294967295,64,0,
2201817258,4294967295,70,0,
2201817258,4294967295,75,0,
2201817258,4294967295,95,0,
2201817258,4294967295,104,0,
2201817258,4294967295,106,0,
2201817258,4294967295,112,0,
2201817258,4294967295,113,0,
2201817258,4294967295,115,0,
2201817258,4294967295,121,0,
2201817258,4294967295,123,0,
2201817258,4294967295,139,0,
2201817258,4294967295,172,0,
2201817258,4294967295,176,0,
2201817258,4294967295,179,0,
2201817258,4294967295,180,0,
2201817258,4294967295,185,0,
2201817258,4294967295,215,0,
2201817258,4294967295,227,0,
2201817258,4294967295,245,0,
2201817258,4294967295,258,0,
2201817258,4294967295,265,0,
2201817258,4294967295,275,0,
2201817258,4294967295,287,0,
2201817258,4294967295,300,0,
2201817258,4294967295,319,0,
2201817258,4294967295,323,0,
2201817258,4294967295,333,0,
2201817258,4294967295,340,0,
2201817258,4294967295,374,0,
2201817258,4294967295,383,0,
2201817086,4294967295,6,0,
2201817086,4294967295,14,0,
2201817086,4294967295,24,0,
2201817086,4294967295,30,0,
2201817086,4294967295,32,0,
2201817086,4294967295,44,0,
2201817086,4294967295,56,0,
2201817086,4294967295,57,0,
2201817086,4294967295,67,0,
2201817086,4294967295,70,0,
2201817086,4294967295,84,0,
2201817086,4294967295,103,0,
2201817086,4294967295,110,0,
2201817086,4294967295,116,0,
2201817086,4294967295,120,0,
2201817086,4294967295,121,0,
2201817086,4294967295,125,0,
2201817086,4294967295,142,0,
2201817086,4294967295,151,0,
2201817086,4294967295,158,0,
2201817086,4294967295,165,0,
2201817086,4294967295,166,0,
2201817086,4294967295,168,0,
2201817086,4294967295,173,0,
2201817086,4294967295,175,0,
2201817086,4294967295,186,0,
2201817086,4294967295,203,0,
2201817086,4294967295,223,0,
2201817086,4294967295,224,0,
2201817086,4294967295,237,0,
2201817086,4294967295,242,0,
2201817086,4294967295,246,0,
2201817086,4294967295,263,0,
2201817086,4294967295,274,0,
2201817086,4294967295,286,0,
2201817086,4294967295,304,0,
2201817086,4294967295,330,0,
2201817086,4294967295,344,0,
2201817086,4294967295,345,0,
2201817086,4294967295,350,0,
2201817086,4294967295,355,0,
2201817086,4294967295,359,0,
2201817086,4294967295,361,0,
2201817086,4294967295,389,0,
2201817086,4294967295,395,0,
2201817840,4294967295,17,0,
2201817840,4294967295,18,0,
2201817840,4294967295,35,0,
2201817840,4294967295,43,0,
2201817840,4294967295,49,0,
2201817840,4294967295,58,0,
2201817840,4294967295,61,0,
2201817840,4294967295,115,0,
2201817840,4294967295,139,0,
2201817840,4294967295,141,0,
2201817840,4294967295,168,0,
2201817840,4294967295,174,0,
2201817840,4294967295,209,0,
2201817840,4294967295,213,0,
